project_id,title,description,operating_unit,budget,expense
102787,Preventing Violent Extremism in Tanzania,This project is intended to support a preventive and developmental national effort for preventing and responding to violent extremism.,United Republic of Tanzania,1370555,1260561
114679,Support for the development of aquaculture,Le projet vise à contribuer à l'amélioration de la sécurité alimentaire et nutritionnelle dans la région de la Haute-Guinée à travers le développement de la pisciculture en milieu rural,Guinea,1368889,497050
118398,Support SFDA Third Strategic Plan Implementation,SFDA completed the implementation of its First Strategic Plan for 2007-2011 and its Second Strategic Plan for 2012-2016. The UNDP  provided technical assistance and collaborated in achieving the strategic goals set in SFDA strategic plans 2018 -2022.,Saudi Arabia,1365201,1234513
111016,Advisory Services to the General Commission for Survey,This project represents the second phase in a strategic partnership focusing on promotion of the survey and it’s myriad products  to maintain provision of advisory services in developing the national capacities for effective geo-spatial surveys.,Saudi Arabia,1364692,937549
120245,Parliamentary Support Programme,"Through this Initiation Plan, UNDP is partnering with the Parliament of Zimbabwe to implement activities under the Spotlight Initiative aimed at addressing legislative and oversight work with regards of SGBV.",Zimbabwe,1362189,204057
105279,Business Call to Action III,BCtA is a global advocacy platform that works to accelerate progress towards the SDGs by  supporting companies to develop inclusive business models that offer the potential for both commercial success and development impact.,Bureau Policy & Prog Support,1359277,783648
87169,Egypt: Mainstream Biodiversity into Tourism Development,This 4-year project is designed to mainstream biodiversity into the Egyptian tourism sector and government. the project will engage directly with the industry and government and with the tourism industry,Egypt,1356775,366176
114703,Cross-Border Coop _Ethiopia/Kenya,This project is designed to address conflict and peacebuilding initiatives and contribute to Sustainable Peace and Socio-economic Transformation” to transform the region into a prosperous peaceful and resilient community.,Ethiopia,1350558,68639
112207,Bolivia Libre de Malaria Transición,"El Objetivo es reducir a 50% los casos de Malaria por P. vivax en los 19 municipios endémicos de Bolivia, evitar la reintroducción de casos por P vivax y por P falciparum en todo el país y transferir el Programa al Gobierno de Bolivia",Bolivia,1350045,947713
118429,Persistent Organic Pollutants,Environmentally Sound Management of Persistent Organic Pollutants (POPs) in industrial and hazardous waste sectors,Bosnia and Herzegovina,1346600,512690
77748,LANDSCAPE APPROACH MOUNTAIN ECOSYSTEMS,A LANDSCAPE APPROACH TO THE CONSERVATION OF THREATENED MOUNTAIN ECOSYSTEMS - CONNECTING LANDSCAPES,Cuba,1343500,792434
49514,Engagement Facility,"Address existing or emerging programmatic priorities through incentivized catalytic seed funding for subsequent scaling up or replication, to strengthen GoPNG’s capacities in priority areas of the Medium Term Development Plan 2018-2022",Papua New Guinea,1343243,619389
112883,Soutien aux activités générarices de revenus durables,Project aims at creating resilience and socio-economic stabilisation by providing enabling environment for youth at risk and by offering training skills and knowledge to develop their business.,Central African Republic,1343069,567550
114432,PBF- Kasai-Paix-Just-Reconstruction,"Le projet Paix, Justice, Réconciliation et Reconstruction au Kasaï Central a pour objectif principal de restaurer l’Etat de droit afin d’assurer la pacification des relations intra- et intercommunautaires dans la province du Kasaï Central.",Democratic Republic of Congo,1343034,642002
112861,PROJET D'APPUI AU PLAN NATIONAL DE DÉVELOPPEMENT,Projet d'Appui à la mise en oeuvre du Plan National de Développement Economique et Social (PNDES),Burkina Faso,1342294,910312
98897,FRELOCAL - FUENTES RENOVABLES DE ENERGIA - DES LOCAL,FUENTES RENOVABLES DE ENERGIA COMO APOYO AL DESARROLLO LOCAL (FRE-DL) - APOYO A LA DIVERSIFICACION DE LA MATRIZ ENERGETICA - META 24% DE USO DE FRE PARA GENERACION DE ELECTRICIDAD EN 2030.,Cuba,1341145,61753
123193,Addressing the urgent human insecurities in the Aral Sea,"The project goal is to address the environmental, social and economic insecurities in the most vulnerable communities of the Aral Sea.",Uzbekistan,1340833,578986
113070,Supporting the Scaling up of the YOUTHCONNEKT Model,This project has been developed to support the scaling up of the YOUTH CONNEKT Model in Africa,Regional Center - Addis Ababa,1340000,1209113
128671,URU/19/002 MVOTMA,URU/19/002 Apoyo a la implementación del Programa BID 4850/OC-UR “Fortalecimiento de la gestión ambiental del MVOTMA,Uruguay,1332978,141515
87051,Apoyo a la Estrategia Nacional de Cambio Climático y Recursos Vegetacionales (ENCCRV) de Chile,Apoyo a la implementación de la Estrategia Nacional de Cambio Climático y Recursos Vegetacionales (ENCCRV) de Chile,Chile,1332643,541135
118500,RMI Disaster Preparedness&Infrastructure,To improve the capacity for preparedness and mitigation of the Republic of the Marshall Islands (RMI) to geo-physical and climate related hazards and enhancing resilience to climate change impact.,Marshall Islands,1331818,324697
81124,PIMS 3447 CBSP–Sustainable Financing of Protected Areas,"The present project proposal offers an approach and a methodology for addressing the PA financing challenge at local, national and regional levels","Cameroon, Republic of",1331000,753883
108863,Resilience Building,"RP OUTCOME 3: Building resilience to shocks and crises through enhanced prevention and risk-informed development.
STRATEGIC PLAN 2018-2021, OUTCOME 3: Build resilience to shocks and crises",Regional Center – Istanbul,1330970,421212
95142,"Eco. Mgt & Evidenc-based Policy, Planning & Budgeting","This project will provide support to national institutions responsible for economic management and evidence-based policy, planning and budgeting to achieve inclusive growth and poverty reduction in the Gambia.",Gambia,1330522,838636
72472,Economie Nationale,"Appui au Gouvernement dans le domaine de la Planification, du suivi et évaluation du Développement.",Democratic Republic of Congo,1329135,674726
127943,Inclusive COVID-19 Response,"Supporting an Inclusive and Multi-Sectoral Response to COVID-19
and Addressing its Socio-Economic Impact in Egypt",Egypt,1328570,28105
106656,"Apoyo a la Inclusión Social de Niñas, Niños, Adolescente","Apoyar el proceso de expansión de El Sistema, con miras a asegurar la inclusión masiva de niñas, niños, adolescentes y jóvenes, pertenecientes en su mayoría a las comunidades mas pobres y vulnerables del país.",Venezuela,1327874,332615
118587,Building Trust and Confidence in Zimbabwe's Transition,"This project seeks to contribute towards building confidence and trust in Zimbabwe's transition through a broad-based approach around three inter-linked output areas i.e. Citizen Engagement, Dispute resolution services and National Healing",Zimbabwe,1327316,373218
90215,ECO_MONITORING,"Project within the EU air quality monitoring programme aimed at increasing environmental education in the country as well as at Involving CSOs in environmental monitoring, and improving environmental governance at local level,","Belarus, Republic of",1326468,1344281
104578,Gestión de Documentos,"""Modernización del Sistema de Gestión de Documentos de la Dirección de Pensiones No Contributivas del Ministerio de Hacienda""",Paraguay,1321562,0
86375,Appui au Renf. des Cap de Res des Fem et Jeunes Tomb Gao,"Consolid. de la paix par l’éduc., la promotion du dialogue et le dévelop. d’opport. économ à Gao,Tombouctou et Mopti,  renforcement des capac. des autorités intérimaires de Ménaka et Taoudenit par la form et la provision des services sociaux de base.",Mali,1319938,604080
88788,DevtforREApplicationsMainstreaming&Market Sustainability,The objective of the DREAMS Project is to reduce GHG emissions through the promotion and facilitation of the commercialization of RE markets via removal of barriers to increase investments in RE-based power generation projects at the local level,Philippines,1318687,342185
107827,Strengthening the resilience of rural livelihoods and sub-national government system to climate risks and variability,The objective of the project is to provide support to national and sub-national authorities as well as vulnerable populations to strengthen their resilience to climate risks and vulnerability.,Benin,1316413,753055
117198,Strengthening CSOs,Strengthening Civil Society Organizations for Responsive and Accountable Governance in Rwanda,Rwanda,1314589,897807
106929,PIMS 5484 : Sustainable development of Comoros Islands,PIMS 5484 : Sustainable development of Comoros Islands by promoting the geothermal energy resources.,Comoros,1312610,1113056
116811,MED4EBM,"Develop and apply a common reference-model and methodology to make ecosystem-based ICZM much easier to design and implement by applying innovative techniques and method in Jordan, Italy, Tunisia and Lebanon",Jordan,1310985,910241
95085,Integrated Results & Resources Project,"IRRM Project has been setup to capture Monitoring & Evaluation, Communication and Programme Finance functions of the UNDP Pacific Centre",Fiji,1310615,153641
89758,Support to Public Administration Reform,"Support to Public Administration reform -Together with partners, UNDP assists the Government of Georgia in steering and successful implementation of the Public Administration Reform (PAR).",Georgia,1309400,773953
114199,PCVE - Somali Strategy and Action Plan,Operationalising Somali National Strategy and Action Plan on Preventing and Countering of Violent Extremism,Somalia,1306531,932025
99178,FCPF REDD+ Readiness Grant,"The FCPF REDD+ Readiness Grant project aims to put in place mechanisms to enable Kenya to improve livelihoods and wellbeing, conserve biodiversity, attain a minimum 10% forest cover and mitigate climate change for sustainable development.",Kenya,1301250,778840
88841,Afghanistan Sustainable Energy for Rural Development,"Economic growth is accelerated to reduce vulnerabilities and poverty, strengthen the resilience of the licit economy and reduce the illicit economy in its multiple dimensions",Afghanistan,1300001,828238
126697,Projet de réponse au coronavirus au Sénégal,"Durant la COVID-19, appui à la continuité de l'administration, aux familles vulnérables, à la santé, à l'analyse socio-économique, la mobilisation sociale et à la police",Senegal,1300000,831419
87828,Joint Project to support fight human rights violations,Projet Conjoint mis en œuvre l’esprit du GFP et dont l’objectif est d'apporter un appui institutionnel et communautaire en vue de renforcer les capacités du système judiciaire et des FSI à lutter contre les violations des droits de l’Homme.,Central African Republic,1296825,1489752
116498,Trust Fund Management Unit (TFMU) Project,"The Trust Fund Management Unit (TFMU) project will ensure the effective management of the LOTFA, Established as a Multi-Partner Trust Fund (MPTF) supporting by the United Nation Development Programme UNDP",Afghanistan,1290000,139097
68364,Process promotion Support Fund,TICAD V Follow Up,Reg Bureau for Africa,1289749,291117
89252,Global Pulse - Data Innovation for Development (PLJ),"The use of innovations in information and communication technologies for development planning and policymaking in the area of trade and competitiveness, frontline service delivery, government information management and social protection.",Indonesia,1288080,1043891
117570,Spotlight Argentina,Iniciativa Spotlight para la reducción del femicidio y eliminación de la violencia contra las mujeres y niñas en la Argentina.,Argentina,1285806,414549
127135,Response Plan Covid-19,Accelerated Recovery & Response Plan to the Impact of COVID-19,Central African Republic,1283730,231556
117797,Plan National Adaptation BEN,"Intégration de l’Adaptation au Changement Climatique dans les processus nationaux de planification, de budgétisation, de suivi et d’évaluation du développement au Bénin",Benin,1280427,373727
122410,Technical and Advisory Support to Electricty sector,The electricity sector in the Kingdom of Saudi Arabia is witnessing a major transformation with a number of ongoing initiatives which aims to increase efficiency of the sector,Saudi Arabia,1280353,1180223
120330,Governance for Resilient Development in the Pacific,"PRRP II works with Pacific Island countries to mainstream gender sensitive and inclusive climate change and disaster risk management into development planning, budgeting and implementation.",Fiji,1278250,365435
107460,Integrated Nat'l Complaint Handling System (SP4N-LAPOR),The KOICA and UNDP in Indonesia are initiating a joint collaboration with the Ministry of Administrative and Bureaucratic Reform (KemenPAN-RB) to strengthen SP4N-LAPOR.,Indonesia,1277008,560621
105031,UNDP Flood recovery - Housing FBIH,UNDP Flood recovery - Housing interventions in Federation of Bosnia and Herzegovina aims to support the sustainable recovery of flood- and landslide-affected communities by supporting 225 people.,Bosnia and Herzegovina,1275352,533762
109535,The Spotlight Initiative in Papua New Guinea,The Spotlight Initiative in Papua New Guinea COUNTRY PROGRAMME DOCUMENT implemented by selected United Nations Agencies in Papua New Guinea.,Papua New Guinea,1274984,168709
104392,Femmes Jeunes Entreprenants et Citoyenneté,"Ce programme a pour objectif de réduire le chômage et le sous-emploi au Burkina Faso, au sein des jeunes et des femmes à travers la promotion d'opportunités d'emplois d'emplois décents et durables",Burkina Faso,1272806,1030334
99179,4KEN Sixth Operational Phase of the GEF,The SGP Project seeks to enhance the socio-ecological resilience of selected landscapes and seascapes through community-based initiatives,Kenya,1270280,895978
107493,Environmental Management Mining,"Improving Environmental Management in the Mining Sector of Suriname, with Emphasis on  Gold Mining",Suriname,1269106,167434
114537,Entrepreneurship for development,The project will support the implementation of the national strategy on entrepreneurship with a focus in the six governorates of the south.,Tunisia,1267471,715234
104442,PIMS 6119 Advancing PNG NAP,Advancing Papua New Guinea's National Adaptation Plan,Papua New Guinea,1264314,0
97769,Green Energy SME Development Full-Size Project,"The project’s strategic objective is to facilitate the transformation of Tajikistan’s energy sector, in particular the emergence of independent energy entrepreneurs",Tajikistan,1263923,223974
76607,"Incremento de la calidad y eficiencia de los servicios sociales, salud y nutricion, ofrecidos a los estudiantes por el Instituto Nacional de Bienestar Estudiantil (INABIE)","Incremento de la calidad y eficiencia de los servicios sociales, salud y nutricion, ofrecidos a los estudiantes por el INABIE",Dominican Republic,1263864,485426
74904,Procurement of Drugs to Gaza,The PalTel Group Foundation will provide support to the procurement of medical supplies (drugs and health consumables) to the Ministry of Health in Gaza.,Prog for Palestinian People,1262492,684459
126747,Support to the TABIB,UNDP Azerbaijan response to COVID-19: Support to the TABIB in health procurement services,Azerbaijan,1261450,594923
90446,Mainstreaming Biodiversity into the management of CZM,"The project aims to conserve and sustainably manage coastal and marine biodiversity in the RM, using the proxy of Environmentally Sensitive Areas",Mauritius,1260920,639891
118296,Community Security and Access to Justice for Peace,"enhancing community safety, social cohesion and access to justice within communities in need in Syria.",Syria,1260034,812006
80204,Active Labour Market Programmes 2,The main project objective is to improve the capacities of the labour market institutions to design relevant gender responsive policies. Vulnerable youth across Kosovo – with a particular focus on women – receive integrated employment services,Kosovo (As per UNSCR 1244),1258843,557996
114239,Progreso al Campo Infraestructura y confianza,"Desarrollo económico local y sostenible en zonas rurales, a través de la construcción de pequeña infraestructura comunitaria y el fortalecimiento de las capacidades productivas locales",Colombia,1256734,772254
99484,Generando Ciudadania Activa,"Promover el efectivo ejercicio de una ciudadanía activa y su participación en la co-creación de oportunidades de desarrollo sostenible, en una cultura de participación, diálogo y transparencia.",Peru,1255294,242372
86188,Low Carbon Growth in Cities through Sustainable,Achieving Low Carbon Growth in Cities through Sustainable Urban System Management in Thailand,Thailand,1252318,649749
125246,Coordination et Suivi  du Portefueille PBF,"Le projet vise à maintenir le fonctionnement de l’unité de coordination PBF pour assurer la coordination, le suivi et l’évaluation des projets en Centrafrique et renforcer le cadre de coordination stratégique du portefeuille PBF.",Central African Republic,1250533,222495
85270,"Civil Registration Reform, II","The overall goal of the project remains the same as in Phase I: women’s, men’s and children’s human rights are better protected by strengthened provision of civil registration services and by increased public access to the system",Tajikistan,1250502,676088
87627,Enhancing national food security,Enhancing national food security in the context of global climate change. A project funded by the Least Developed Countries Fund (LDCF).,Kiribati,1250088,466519
57222,BRA/09/008 -Capacity Support for South-South Cooperation,The purpose of this project is to provide programmatic and operational framework for widening UNDP support to the Government of Brazil cooperation activities in the SSC.,Brazil,1249991,832720
111335,GEF - Arafura & Timor Seas Action Prog. (ATSEA 2) Region,"The ATSEA-2 is designed to enhance regional collaboration in the Arafura and Timor Seas region, to support quality life's improvement of  inhabitants through restoration, conservation an d sustainable management of marine-coastal ecosystems.",Indonesia,1249615,340392
123559,PBF Appui aux Ex-Combattants Kasai&Tanganyka,"Le projet vise à renforcer la cohésion sociale entre les communautés dans les provinces du Kasaï Central, du Kasai et du Tanganyika qui ont été largement affectées par les conflits.",Democratic Republic of Congo,1246595,330845
77784,BRA/14/G31 PIMS 4675 Production of biomass-based charcoa,BRA/14/G31 - The proposed UNDP/GEF initiative is aimed at reducing the greenhouse gas emissions from the iron and steel sector in the Brazilian State of Minas Gerais.,Brazil,1245000,596535
105634,Mediation et Dialogue pour une Paix Durable,Contribuer a un environnement propice a la consolidation de la paix par un appui (i) a la mediation de haut niveau politique et (ii) a la mise en commun des approches nationales et locales de mediation ; (iii) une communication amelioree sur la mediation,Central African Republic,1244240,729128
121704,Support to Peace and Reconciliation in Afghanistan,PIP- Support to Peace and Reconciliation in Afghanistan,Afghanistan,1243318,55039
126991,SUPPORT TO NATIONAL RESPONSES COVID-19 CRISIS CIV,PROJECT FOR SOCIO-ECONOMIC STABILIZATION IN SUPPORT OF THE NATIONAL RESPONSE TO COVID-19 CRISIS IN COTE D’IVOIRE,Côte d’Ivoire,1242141,863571
68928,Rapid Response Implementation Support,Rapid Response Implementation Support(RARIS) to the Ministry of Agriculture and the Agriculture Lead Ministries,United Republic of Tanzania,1241102,970820
112127,Tensions Monitoring System,Growing tensions between Lebanese host communities and Syrian refugees requires LCRP response actors to be equipped with data and analysis on the evolution of tensions to ensure that their interventions are adapted to the context and conflict.,Lebanon,1240672,541894
102127,Promoting Human Security through Sustainable Resettlemen,The Promoting Human Security Through Sustainable Resettlement Programme is the primary vehicle for shifting from a humanitarian to a long-term development approach to support the local integration of former refugees and Zambians.,Zambia,1239718,755543
111963,Poverty-Environment Action (PEA),The Poverty-Environment Action for Sustainable Development Goals Initiative (2018-2022) builds on over a decade of the UNDP-UNEP Poverty and Environment Initiative and extends efforts to spearhead poverty-environment mainstreaming.,Bureau Policy & Prog Support,1237842,489340
104061,Leave No One behind,The project’s goal is to intervene in the current system for the improvement of social services and the participation of persons in need in public decision-making – supports the vision of an overall inclusive Albania.,Albania,1237207,960641
127825,Inclusive & Multi-Sectoral Response to COVID-19,Inclusive and Multi-Sectoral Response to COVID-19 and Addressing the Socio-Economic Impact in Nigeria,Nigeria,1234288,136315
84926,URU/18/002 Plan Nacional Adaptación-Ciudades /NAP-Cities,"URU/18/002 Integración del enfoque de adaptación en ciudades, infraestructura y ordenamiento territorial en Uruguay.",Uruguay,1232179,587470
116004,Strategic Investments in Education,"Focused development of a quality, equitable, efficient and effective education aiming to increase the education level of the population, improving economic recovery and boosting the competitiveness, focusing on knowledge economy.",Serbia,1232095,663896
51455,BRA/10/G31-PIMS 3515 SUCRE-Sugarcane Renewable Electricity,The overall objective of the project is to catalyze the establishement of a comercial market for sugarcane-based to the brazilian grid,Brazil,1231511,967616
45899,BioEnergy for Sustainable Rural Development: FSP,"The objective of this project is to remove the technical, institutional, informational, financial and other market barriers to the increasing use of biomass energy in promoting sustainable rural development in Egypt",Egypt,1228231,97462
96225,FSP-National Park System Project,Building Sustainability into PA Reforms to Conserve Globally significant Biodiversity in China,China,1227382,439556
112604,Young  Social Entrepreneurship,This project aims to promote and drive an innovative concept that could encourage more young people to become social entrepreneurs.,Sao Tome and Principe,1227206,513015
116488,Support to the Ministry of Health,"The purpose of this project is to support provision of quality health care services to the population of Azerbaijan, specifically services on HIV/AIDS through procurement of reagents and medicines for the respective services.",Azerbaijan,1220134,955734
85914,Green Technology Application Low Carbon Cities,"The objective is to achieve sustainable development, reduce carbon emissions of the cities and contribute towards the national commitment of reducing up to 40% of GHGs in terms of emission intensity by GDP by the year 2020 compared to 2005 levels.",Malaysia,1219701,332792
108391,Access to Justice though Village Mediation & Paralegal S,To increase access to justice for the poor and vulnerable through well functioning village mediation and paralegal services that are backed by strengthened legal frameworks and procedures. Ensuring access to justice through informal means.,Malawi,1218654,826246
114165,Climate Resilience Initiative in Malawi (CRIM),"The Climate Resilience Initiative in Malawi (CRIM) project aims to enhance the adaptive capacity of vulnerable communities to the changing climate and enhance the capacity of district councils to better monitor, manage and respond to climate change",Malawi,1218069,724389
87612,SAPPHIRE - Large Marine Ecosystem Project in WIO,This Project builds on the previous work completed under the UNDP supported GEF financed Agulhas and Somali Current Large Marine Ecosystems (ASCLME) Project in close collaboration with a number of partners.,Seychelles,1216600,595447
86680,Energy Efficient Electric Motors,PREMCI’s objective is to enhance the manufacturing and widespread application of energy efficient electric motors in China.,China,1215987,829300
121502,Infrastructure climate resilient growth,"In partnership with DFIDs Infrastructure Climate Resilient Growth programme, UNDP aims to support & integrate climate concerns into the Mahatma Gandhi National Rural Employment Guarantee Scheme activities",India,1215000,461547
78543,Enabling China to Prepare Its Third National Communication to the United Nations Framework Convention on Climate Change (UNFCCC),Capacity Building Project Between the Government of the People’s Republic of China and United Nations Development Programme To Enable China to Prepare Its Third National Communication to the UNFCCC,China,1213301,48834
90284,Support to the Cubango-Okavango River Basin SAP,The project will support the implementation of the Strategic Action Programme for the Cubango-Okavango River Basin.,Botswana,1213300,482719
94483,PIMS5569 Renewable Energy & Energy Efficiency,Facilitating Renewable Energy & Energy Efficiency Applications for Greenhouse Gas Emission Reduction (FREAGER),Papua New Guinea,1213271,433210
103965,"Engaging with Institutions (EI), Initiation Plan- IP","Engaging with Institutions (EI), Initiation Plan- IP. The project has Developed for improving social policies and programmes that focus on good governance, reduction of structural inequalities and advancement of vulnerable individuals and groups.",Bangladesh,1213130,483257
126416,Accelerating Youth Innovation and Entrepreneurship in SL,Accelerating Youth Innovation,Sierra Leone,1209795,554652
127965,BBVA Apoyo gob. mex. COVID,"Apoyo al Gobierno mexicano para la respuesta a la contingencia sanitaria COVID-19, a través del programa Salvando Vidas de Fundación BBVA Bancomer.",Mexico,1209582,1208952
125942,Stabilisation & Consolidation de la Paix.,La phase 3 du projet collecte des données sur la consolidation de la paix et la reconstruction en RDC a été développée en vue d’accompagner le Gouvernement de la RDC dans la mise en place des politiques publiques,Democratic Republic of Congo,1209369,815199
85264,Snow Leopard protection,Conservation and sustainable use of Pamir Alay and Tian Shan ecosystems for Snow Leopard protection and sustainable community livelihoods,Tajikistan,1209311,774639
46028,Early Recovery in Darfur,Enhancing Livelihood Opportunities and Building Social capital for New Livelihood Strategies in Darfur.,"Sudan, Republic of the",1205606,607355
76225,Scaling Up Implementation of the Sustainable Development,"Scaling Up Implementation of the Sustainable Development Strategy for the Seas of Southeast Asia with the Governments of Cambodia, PR China. Indonesia , Philippines, Thailand, East Timor and Vietnam",Philippines,1202970,448938
62090,Good Governance,Policy Advice for Good Governance outcome,Serbia,1201244,150830
87589,PIMS#4602 - RENEWABLE ENERGY,SUSTAINABLE AND CLIMATE RESILIENT HYDROPOWER PROMOTION THROUGH AN APPROACH THAT INTEGRATES LAND AND FOREST MANAGEMENT IN SAO TOME AND PRINCIPE.,Sao Tome and Principe,1200000,353379
127553,"Serving People, Improving Health Project","Implementation of the Loan Agreement for Serving People, Improving Health Project between the Government of Ukraine and the International Bank for Reconstruction and Development, and the United Nations Development Programme",Ukraine,1200000,0
88620,Pakistan Snow Leopard and Ecosystem,The project utilises landscape approach for conservation and management  of habitat of endangered species including Snow Leopard.,Pakistan,1198838,389947
99570,Towards national reconciliation in Libya,The project will promote an inclusive vision for national reconciliation by supporting development of a national reconciliation strategy as well as strengthening bottom-up local reconciliation initiatives.,Libya,1197969,253813
127403,Support to COVID-19 Rapid Response Initiatives in Tajiki,Support to COVID-19 Rapid Response Initiatives in Tajikistan,Tajikistan,1197210,235291
91590,Forest Carbon Partnership Facility Phase 2 (FCPF2),This project builds upon the existing FCPF project and aims to further enhance the capacities of the government of Cambodia for tackling deforestation and forest degradation to reduce greenhouse gas emissions.,Cambodia,1195742,779725
105867,Promotion des mini-réseaux micro hydroélectriques,Promotion de mini-réseaux utilisant l’énergie de petites centrales hydroélectriques pour un meilleur accès aux services énergétiques modernes en République Centrafricaine.,Central African Republic,1194922,301971
90466,Improving the Management of Protected Areas,The project aims to improve nature protection and to promote sustainable use of natural resources while increasing the capacity of designated authorities and NGOs to manage protected areas professionally.,North Macedonia,1193799,1068641
80290,Cairo Center for Conflict Prevention and Peacekeeping in Africa - Phase II,"Enhancing the capacity of local actors in efforts to improve Peace and Stability in North Africa, the Sahel and Great Lakes",Egypt,1191315,479228
73899,Social Cohesion Project,The Social Cohesion Project will support the creation of a framework for collaborative problem solving and dialogue including developing a Policy Framework.,Malawi,1190000,741377
95419,Legislative Support Project II,"To support National Assembly to more effectively and responsively perform core functions of representation, law-making and oversight of the executive",United Republic of Tanzania,1188766,602329
116671,"Cohésion sociale, Diffa","Contribution à la consolidation de la paix et la cohésion sociale dans les communes de Bosso, Toumour, Kablewa, Gueskerou et Chetimari.",Niger,1187723,1188788
78842,Niue Ridge to Reef,Application of Ridge to Reef Concept for Biodiversity Conservation and for the Enhancement of Ecosystem Services and Cultural Heritage in Niue_NIUE Ridge to Reef Full-Sized Project,Niue,1183906,804852
130135,"Crisis Fragility, Policy and Engagement (CFPE)",This project has been created to regularize the framework through which CFPE delivery/spending is carried out.,Crisis Response Unit,1183427,34450
99416,Gestión territorial del desarrollo,Fortalecer el proceso de descentralización y modernización del Estado a través del uso de la tecnología proponiendo la generación conjunta de una visión única del desarrollo del territorio.,Peru,1179413,1078325
109292,Transición para una Respuesta Sostenible al VIH y la TB,"Con el proyecto de Transición para una Respuesta Sostenible al VIH y la TB en Panamá, se espera asegurar la sostenibilidad de la respuesta de los programas de VIH y TB.",Panama,1178473,720016
87750,ABS of Genetic Resources,Developing and Implementing the National Framework on Access and Benefit Sharing of Genetic Resources and Associated Traditional Knowledge,China,1177306,406813
96753,Global Project - Core Government Functions,Global Project on Supporting Core Government Function to address Fragility and Build Resilience,Crisis Response Unit,1175033,212271
84971,URU/15/002 Apoyo a la estrategia de Cooperación Sur Sur,"URU/15/002 Apoyo a la estrategia de Cooperación Sur Sur y Triangular, Segundo Programa de Cooperación de la Comisión de Cooperación Técnica y Científica Uruguay",Uruguay,1174760,1203902
91868,National Drug Use Prevention Policy and Management,"The project aims to help reducing the extent and effects of the drug use problem and death from drug use overdose in Kuwait. Actions towards improving drug use prevention, treatment, rehabilitation, and community reintegration services will be effected.",Kuwait,1174224,535304
105629,Appui au renouvellement des Forces de Securite Interieure,"L’objectif du projet est de contribuer au renouvellement des FSI, de l’État de Droit, de la justice et de la paix en RCA et d’appuyer les réformes de RSS afin de jeter les bases pour un renforcement de la confiance entre la population et les autorités",Central African Republic,1171028,344634
114139,Appui participation citoyenne décentralisation et devlt,Appui à la participation citoyenne au processus de décentralisation et de développement local PAPCiDDeL et s’inscrit dans le cadre du programme budgétaire décentralisation du Ministère de l’Administration Territoriale et de la Décentralisation.,Burkina Faso,1167409,843575
99802,Project for Strengthening the Solid Waste Management Sys,"Ce projet vise à fournir une assistance technique au Gouvernement haïtien pour la définition participative d’une stratégie durable en matière de Gestion de Déchets Solides, tenant compte des sexospécificités et sur la base du cadre juridique en vigueur.",Haiti,1165060,685262
88037,Common Humanitarian Fund 2015,Provision of life-saving basic services through NGOs as part of the Common Humanitarian Fund (CHF).,"Sudan, Republic of the",1163785,-14130
107177,Resilience building of Communities in Guwahati & Ranchi,The project aims to reduce drivers of vulnerability in communities around Guwahati & Ranchi airports through creating enabling environments for sustainable economic and social development,India,1163650,124699
114259,Herdsmen-Farmer Project,Transitioning from Humanitarian Relief to long-Term Development: Addressing the Herdsmen-Farmers Conflict in Nigeria,Nigeria,1162223,448524
126877,Supporting the National Response to COViD-19,Ce projet est pour faciliter et donner des réponses rapide au pays à la lutte contre le Covid-19 aux Comores.,Comoros,1160702,972354
105088,Rule of Law and Justice,"The objective of the project is to strengthen the institutional and human capacity of the rule of law and justice sector, contributing to its modernization and reform.",Guinea-Bissau,1159289,932228
45532,Policy Advisory Service,"Conduct policy support and research forkey development challenges both in China and as well as its South-South role.This programme serves as an umbrella to support policy and research through inter alia studies, dialogues, events and networks.",China,1156528,225928
85129,"INCORPORACIÓN DEL USO SOSTENIBLE DE LA BIODIVERSIDAD EN LAS PRÁCTICAS DE PRODUCCIÓN DE PEQUEÑOS PRODUCTORES PARA PROTEGER LA BIODIVERSIDAD EN LOS BOSQUES DE ALTO VALOR DE CONSERVACIÓN EN LAS ECORREGIONES BOSQUE ATLÁNTICO, YUNGAS Y CHACO","INCORPORACIÓN DEL USO SOSTENIBLE DE LA BIODIVERSIDAD EN LAS PRÁCTICAS DE PRODUCCIÓN DE PEQUEÑOS PRODUCTORES PARA PROTEGER LA BIODIVERSIDAD EN LOS BOSQUES DE ALTO VALOR DE CONSERVACIÓN EN LAS ECORREGIONES BOSQUE ATLÁNTICO, YUNGAS Y CHACO",Argentina,1156201,306415
114135,Strengthening Devolved Governance in Kenya,Strengthening Devolved Governance in the Northern Frontier Counties’,Kenya,1156042,912108
96048,PIMS 4685 Micro Hydro Congo,Ce projet vise à augmenter le taux d'électrification rural afin d'éviter les émissions de gaz à effet de serre en améliorant l'environnement favorable de petites centrales hydroélectriques (SHP) projets de micro-réseaux.,Congo,1155995,120912
92356,Inclusive Green Growth,"Strengthen institutions, enterprises and communities to improve their productive and income generation capacities by supporting the development of inclusive green value chains in tourism, mining, and agriculture sectors.",Uganda,1150441,620705
109456,Decentralization & Good Governance,"Advance decentralization & good governance at the local level through promoting nation-wide policy reform, empowering right holders to engage in political process. The project will operate in 3 regions (Kvemo Kartli, Mtskheta-Mtianeti and Imereti)",Georgia,1150040,424247
